"ï»¿""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.128491016,2.584614948,6.06123866,1.990511917,1.528959505,1.929472915,2.015996243,1.862136696,1.67601737,1.599430121,1.701461079,1.680564958,1.759501205,1.972297824,1.909837585,1.519399417,1.47350063,1.540582329,1.506066935,1.498754576,1.478825303,1.583099854,1.586675101,1.491377656,1.51132922,1.399826412,
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6299771,6.234373042,6.566368908,6.630179828,6.016140866,5.697919807,6.407176037,6.035767511,6.418965756,7.101205132,7.256637168,5.61754521,4.069210084,3.886214044,3.870758678,4.639280342,2.532726743,2.609671299,2.556815064,2.638350895,2.514964776,3.26045877,3.15995384,2.49091749,2.426233532,2.559815852,
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.763596509,3.476273628,4.480775912,4.503967632,4.355330994,4.692318335,3.952914837,3.522898842,2.910350049,3.410120145,4.011065007,3.055824994,3.379510953,4.069743871,4.216062297,4.042324115,3.506476494,2.858996575,2.695116768,2.801078064,2.990754371,3.266228945,2.536675295,2.406945026,2.294083909,2.018655994,
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.077446403,1.31773243,1.189184355,1.140204375,,1.125507296,1.587183334,1.816200162,2.59742643,,,,
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.980872123,1.926128607,1.950451892,1.84105774,1.838045624,1.792492648,1.653733104,1.50772076,1.346556752,1.20160732,1.250733936,1.23372378,1.121324099,1.162374695,1.132903396,1.137053405,1.113182484,1.115679339,1.129853832,1.194712306,1.25390802,1.381359496,1.196687189,1.15164053,1.118646657,1.010737827,
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.593494527,,2.681906843,2.492564082,2.163228029,2.101378983,2.397125865,2.255304612,2.25736198,2.114120639,1.98728771,1.883356812,1.915600759,1.899848385,1.866687103,1.766440549,1.794953182,1.71592681,1.675221976,1.547706955,1.555943252,1.492452771,1.426962547,1.432984878,1.385255902,
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.569235751,1.529024631,1.575746551,1.542170773,1.526222305,1.369505,1.335752848,1.359215984,1.286175155,1.220584029,1.184590299,1.085508949,1.03077964,0.991888974,0.957306224,0.929084496,0.890330025,0.855037035,0.775655591,0.738290918,0.743077467,0.751711066,0.708080592,0.714349522,0.689409824,0.737253056,
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.174072056,3.444459607,3.27363981,2.853762816,2.629752875,2.707963139,2.658070742,2.561002822,2.513022177,2.56028949,2.660471818,2.800325333,2.652054546,2.617046581,2.506946831,2.348625823,2.476464807,2.412496729,2.411660704,2.286882789,2.530689728,2.186766671,2.163810236,2.167165439,2.05554301,1.961197829,
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.589405232,2.624837488,2.447030803,2.559104881,2.071663439,1.802984747,1.727151819,1.75619536,1.684119143,1.77720318,1.895691161,1.854566614,2.070125821,2.177296972,2.120410513,2.07032425,2.049342445,2.089550885,2.054096429,2.02836898,2.24110794,2.079634846,2.012242344,2.038615893,2.05328265,
Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24914713,1.329009118,1.33360325,1.374000303,1.405880534,1.345633578,1.011260163,,0.8454304,0.798024291,,,,,,1.553061657,1.62622978,1.464753536,1.504097376,1.589738861,1.521012091,1.72722118,1.557844343,1.411070222,1.503480522,,
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2490095,1.371580652,1.495615604,1.508801845,1.467843416,1.346148621,1.413628004,1.253366453,1.287290105,1.421791317,1.4872564,1.49027467,1.258789309,1.401980327,0.685737451,1.389422431,1.40390768,1.34863826,1.427433005,1.450122821,1.484130006,1.467357412,1.495768301,1.307225906,1.339282213,1.32808216,
"Congo, Rep.",COG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.385246302,1.664449618,1.906093119,1.63083313,1.306693244,1.090140009,1.263864446,1.194231236,,1.112585734,,,,
