Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central African Rep.,"1,828,709","1,864,764","1,900,723","1,937,410","1,975,985","2,017,362","2,061,466","2,108,232","2,158,547","2,213,492","2,273,630","2,339,759","2,411,176","2,485,120","2,557,808","2,626,638","2,690,250","2,749,702","2,807,768","2,868,515","2,934,777","3,007,347","3,084,958","3,165,869","3,247,456","3,327,710","3,406,451","3,484,027","3,559,604","3,632,287","3,701,607","3,767,068","3,829,238","3,890,075","3,952,281","4,017,880","4,087,534","4,160,940","4,237,961","4,318,128","4,401,051","4,486,837","4,575,586","4,666,833"
Chad,"3,655,905","3,742,580","3,834,574","3,929,341","4,023,300","4,114,094","4,201,073","4,285,738","4,370,560","4,459,072","4,554,089","4,656,116","4,765,160","4,882,913","5,011,242","5,151,339","5,304,490","5,470,211","5,645,708","5,826,974","6,011,224","6,197,766","6,387,856","6,583,079","6,785,842","6,998,108","7,219,081","7,448,585","7,689,836","7,946,982","8,222,327","8,517,944","8,831,199","9,153,893","9,474,792","9,785,902","10,084,087","10,371,839","10,653,762","10,937,089","11,227,208","11,525,496","11,830,573","12,141,876"
Channel Islands,"121,126","122,338","123,534","124,649","125,599","126,335","126,821","127,101","127,299","127,585","128,085","128,828","129,777","130,905","132,156","133,482","134,898","136,394","137,856","139,136","140,137","140,804","141,179","141,384","141,594","141,934","142,448","143,102","143,847","144,607","145,330","145,995","146,626","147,262","147,963","148,763","149,682","150,689","151,705","152,618","153,352","153,876","154,218","154,432"
Chile,"9,577,572","9,752,949","9,925,950","10,095,485","10,260,027","10,418,880","10,571,597","10,719,748","10,867,152","11,018,910","11,178,817","11,348,442","11,527,274","11,714,442","11,908,189","12,107,225","12,310,666","12,518,930","12,733,409","12,956,088","13,187,821","13,429,315","13,678,373","13,929,390","14,174,890","14,409,416","14,630,769","14,840,038","15,039,162","15,231,557","15,419,820","15,604,200","15,783,991","15,959,793","16,132,209","16,301,726","16,468,677","16,633,254","16,795,593","16,955,737","17,113,688","17,269,525","17,423,214","17,574,464"
China,"814,622,841","836,431,505","857,804,035","878,305,091","897,479,153","915,040,954","930,744,699","944,726,607","957,584,105","970,179,212","983,170,638","996,667,562","1,010,574,797","1,025,090,475","1,040,397,958","1,056,579,219","1,073,792,041","1,091,904,967","1,110,339,206","1,128,297,564","1,145,195,229","1,160,799,514","1,175,230,312","1,188,687,527","1,201,522,570","1,213,986,610","1,226,134,423","1,237,849,861","1,249,020,152","1,259,476,966","1,269,116,737","1,277,903,627","1,285,933,789","1,293,396,654","1,300,552,134","1,307,593,489","1,314,581,402","1,321,481,935","1,328,275,524","1,334,908,820","1,341,335,152","1,347,565,324","1,353,600,687","1,359,368,470"
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500","2,770",474,433,396,361,"1,490","1,400",,,"1,400",,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,633,632,630,629,628,574,596,,,596,,,
Colombia,"21,329,811","21,861,689","22,381,887","22,898,136","23,421,644","23,960,605","24,517,307","25,089,511","25,675,364","26,271,401","26,874,906","27,485,678","28,104,254","28,729,367","29,359,535","29,993,539","30,630,754","31,270,841","31,913,250","32,557,521","33,203,321","33,849,971","34,497,319","35,146,220","35,797,965","36,453,337","37,112,621","37,775,054","38,439,099","39,102,653","39,764,166","40,422,597","41,078,136","41,731,914","42,385,712","43,040,558","43,696,540","44,352,327","45,005,782","45,654,044","46,294,841","46,927,125","47,550,708","48,165,221"
Comoros,"238,032","243,481","249,000","254,997","262,030","270,467","280,464","291,816","304,071","316,582","328,861","340,778","352,416","363,759","374,852","385,740","396,391","406,798","417,077","427,392","437,876","448,576","459,515","470,765","482,401","494,486","507,062","520,151","533,754","547,864","562,469","577,569","593,170","609,271","625,876","642,974","660,559","678,602","697,034","715,774","734,750","753,943","773,344","792,913"
"Congo, Dem. Rep.","20,267,009","20,845,085","21,431,338","22,032,669","22,658,905","23,316,776","24,011,465","24,740,389","25,493,382","26,255,837","27,018,690","27,781,042","28,551,259","29,341,286","30,167,580","31,044,153","31,963,766","32,927,332","33,965,482","35,117,790","36,406,226","37,856,212","39,443,819","41,081,774","42,650,247","44,067,369","45,295,039","46,369,335","47,373,590","48,429,878","49,626,200","50,989,424","52,491,329","54,098,245","55,754,885","57,420,522","59,088,415","60,772,175","62,474,901","64,204,304","65,965,795","67,757,577","69,575,394","71,419,669"
