Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Italy,"53,324,772","53,700,117","54,074,032","54,438,147","54,781,374","55,095,516","55,377,233","55,627,789","55,849,349","56,046,086","56,221,171","56,376,115","56,510,204","56,622,072","56,709,575","56,772,141","56,808,914","56,823,401","56,824,700","56,824,792","56,832,330","56,856,059","56,895,154","56,937,520","56,965,197","56,968,039","56,938,342","56,888,300","56,851,522","56,873,677","56,986,329","57,199,219","57,498,867","57,864,332","58,263,782","58,671,206","59,082,100","59,495,243","59,891,479","60,248,654","60,550,848","60,788,694","60,964,145","61,087,395"
Jamaica,"1,869,031","1,895,729","1,924,871","1,955,153","1,984,678","2,012,156","2,036,770","2,059,107","2,080,943","2,104,823","2,132,390","2,164,601","2,200,377","2,236,865","2,270,069","2,297,232","2,317,284","2,331,427","2,341,957","2,352,279","2,364,909","2,380,447","2,398,249","2,418,080","2,439,337","2,461,516","2,484,672","2,508,867","2,533,550","2,558,003","2,581,648","2,604,321","2,625,968","2,646,269","2,664,897","2,681,653","2,696,334","2,709,042","2,720,282","2,730,774","2,741,052","2,751,273","2,761,331","2,771,179"
Japan,"103,710,287","105,145,914","106,619,818","108,089,192","109,498,615","110,808,090","111,996,339","113,071,149","114,057,650","114,996,088","115,914,688","116,823,958","117,711,145","118,554,190","119,320,901","119,990,547","120,553,260","121,023,579","121,434,677","121,832,924","122,251,184","122,703,017","123,177,552","123,653,405","124,097,649","124,486,744","124,814,986","125,091,571","125,325,617","125,531,619","125,720,310","125,893,623","126,048,366","126,184,149","126,299,414","126,392,944","126,464,789","126,515,486","126,544,640","126,551,705","126,535,920","126,497,241","126,434,653","126,345,235"
Jersey,"69,002","69,488","70,268","70,989","71,660","72,289","72,900","73,535","74,186","74,852","75,531","76,245","77,068","77,899","78,740","79,589","80,448","81,279","82,083","82,860","83,609","84,233","84,768","85,245","85,719","86,297","86,861","87,411","87,939","88,440","88,915","89,361","89,775","90,156","90,502","90,812","91,084","91,321","91,533",,,,,
Jordan,"1,666,920","1,752,689","1,825,322","1,887,681","1,944,733","2,000,538","2,055,198","2,108,538","2,164,159","2,226,485","2,298,691","2,383,227","2,479,683","2,584,859","2,693,837","2,803,422","2,910,375","3,016,540","3,129,651","3,260,496","3,415,567","3,599,359","3,806,045","4,019,284","4,216,536","4,382,005","4,510,082","4,606,717","4,682,018","4,751,501","4,827,096","4,910,056","4,998,372","5,096,790","5,210,369","5,342,002","5,495,117","5,667,443","5,848,952","6,025,592","6,187,227","6,330,169","6,457,260","6,572,903"
Kazakhstan,"13,109,992","13,325,342","13,540,301","13,751,019","13,950,987","14,136,006","14,304,947","14,461,277","14,610,810","14,761,508","14,918,991","15,082,186","15,248,460","15,419,454","15,596,921","15,780,002","15,972,358","16,167,918","16,344,294","16,471,823","16,530,000","16,513,480","16,430,903","16,293,800","16,120,117","15,925,853","15,712,544","15,484,686","15,265,189","15,082,372","14,956,694","14,897,666","14,901,669","14,959,072","15,053,492","15,171,805","15,312,333","15,476,093","15,655,345","15,841,096","16,026,367","16,206,750","16,381,297","16,550,975"
Kenya,"11,252,318","11,657,321","12,082,989","12,529,622","12,997,274","13,486,116","13,995,982","14,527,391","15,081,923","15,661,593","16,267,558","16,899,958","17,557,466","18,237,830","18,937,969","19,655,192","20,387,701","21,134,404","21,894,026","22,665,447","23,447,177","24,240,108","25,042,330","25,846,436","26,642,887","27,425,720","28,191,597","28,944,780","29,696,410","30,462,154","31,253,701","32,076,186","32,927,864","33,805,301","34,702,176","35,614,576","36,540,948","37,485,246","38,455,418","39,462,188","40,512,682","41,609,728","42,749,418","43,923,719"
Kiribati,"43,891","44,881","45,777","46,629","47,515","48,491","49,573","50,750","52,015","53,350","54,742","56,180","57,668","59,223","60,871","62,620","64,491","66,457","68,416","70,239","71,835","73,163","74,263","75,227","76,188","77,248","78,431","79,713","81,085","82,524","84,010","85,550","87,147","88,776","90,398","91,988","93,534","95,043","96,532","98,027","99,546","101,093","102,660","104,251"
"Korea, Dem. Rep.","14,246,772","14,642,731","15,034,521","15,411,302","15,759,909","16,072,089","16,341,363","16,572,788","16,784,068","17,000,252","17,239,340","17,508,435","17,802,273","18,111,491","18,421,195","18,720,888","19,006,458","19,282,372","19,556,657","19,841,107","20,143,212","20,466,180","20,804,249","21,145,052","21,471,407","21,770,898","22,038,893","22,278,723","22,495,715","22,698,674","22,894,095","23,083,419","23,264,576","23,436,550","23,597,383","23,745,941","23,882,465","24,008,606","24,126,329","24,238,179","24,346,229","24,451,285","24,553,672","24,654,358"
"Korea, Rep.","31,443,029","32,094,421","32,766,592","33,442,949","34,099,932","34,721,507","35,299,344","35,840,876","36,364,813","36,898,192","37,459,530","38,054,603","38,674,216","39,303,579","39,920,981","40,509,932","41,066,824","41,594,331","42,089,874","42,552,039","42,980,365","43,372,546","43,729,283","44,057,249","44,365,820","44,662,143","44,949,627","45,227,776","45,495,222","45,749,004","45,987,624","46,210,554","46,420,867","46,624,837","46,830,699","47,044,126","47,267,733","47,499,360","47,733,951","47,963,923","48,183,584","48,391,343","48,588,326","48,774,767"
"Korea, United","46,152,902","47,247,579","48,286,241","49,233,867","50,193,464","51,082,308","51,929,433","52,761,320","53,598,905","54,374,290","55,237,626","56,107,008","56,973,518","57,827,990","58,602,000","59,287,420","59,986,457","60,689,554","61,402,141","62,136,910","62,887,546","63,679,116","64,516,825","65,359,988","66,120,790","66,826,002","67,378,988","67,758,921","68,044,512","68,417,806","68,998,765","69,638,064","70,184,515","70,668,745","71,123,878","71,552,848","71,959,842","72,346,515","72,711,933",,,,,
Kosovo,"1,459,678","1,472,076","1,485,874","1,498,456","1,512,430","1,526,753","1,539,760","1,552,556","1,564,448","1,575,960","1,600,570","1,603,831","1,614,480","1,624,276","1,625,905","1,635,482","1,644,596","1,649,862","1,656,892","1,664,158","1,670,808","2,092,679","2,227,264","2,365,038","2,484,175","2,567,417","2,617,993","2,647,850","2,654,379","2,639,714","2,614,315","2,571,012","2,511,039","2,468,091","2,433,907","2,422,257","2,419,235","2,421,609","2,423,704",,,,,
Kuwait,"753,142","811,187","870,446","930,744","991,885","1,053,753","1,116,083","1,178,930","1,242,872","1,308,718","1,376,963","1,445,699","1,514,013","1,584,310","1,659,961","1,742,083","1,835,819","1,937,316","2,028,166","2,083,550","2,087,687","2,031,004","1,924,077","1,795,976","1,687,552","1,627,911","1,628,120","1,678,812","1,763,693","1,857,217","1,940,786","2,009,588","2,069,816","2,126,786","2,189,485","2,264,014","2,351,441","2,447,818","2,548,351","2,646,286","2,736,732","2,818,042","2,891,553","2,959,015"
Kyrgyzstan,"2,964,499","3,035,474","3,103,694","3,169,771","3,234,611","3,299,001","3,362,961","3,426,646","3,491,143","3,557,793","3,627,499","3,700,312","3,775,764","3,853,514","3,933,002","4,013,498","4,095,873","4,179,484","4,260,325","4,333,114","4,394,502","4,441,582","4,476,402","4,506,563","4,542,747","4,592,135","4,658,815","4,739,263","4,823,870","4,898,865","4,954,850","4,987,944","5,002,691","5,008,348","5,018,366","5,042,381","5,083,724","5,139,213","5,204,104","5,270,894","5,334,223","5,392,580","5,448,085","5,503,253"
Laos,"2,691,207","2,762,977","2,839,169","2,914,999","2,983,956","3,041,847","3,086,518","3,120,663","3,150,906","3,186,599","3,234,555","3,296,978","3,372,093","3,457,860","3,550,669","3,647,754","3,748,525","3,853,600","3,962,714","4,075,767","4,192,414","4,312,348","4,434,570","4,557,216","4,677,981","4,795,112","4,907,960","5,016,576","5,120,845","5,220,920","5,317,060","5,408,912","5,496,700","5,582,028","5,667,055","5,753,341","5,841,572","5,931,385","6,022,001","6,112,143","6,200,894","6,288,037","6,373,934","6,458,911"
Latvia,"2,365,705","2,385,524","2,405,177","2,424,107","2,441,537","2,456,971","2,470,206","2,481,606","2,491,929","2,502,245","2,513,349","2,524,804","2,536,323","2,548,940","2,563,992","2,582,011","2,604,319","2,629,552","2,652,332","2,665,405","2,663,905","2,645,539","2,612,722","2,571,110","2,528,893","2,492,095","2,462,617","2,438,994","2,419,819","2,402,452","2,384,972","2,367,302","2,350,340","2,334,225","2,319,229","2,305,528","2,293,080","2,281,693","2,271,198","2,261,380","2,252,060","2,243,142","2,234,572","2,226,260"
Lebanon,"2,464,286","2,528,423","2,597,588","2,665,458","2,723,330","2,765,289","2,788,641","2,796,136","2,794,001","2,791,308","2,794,638","2,807,342","2,827,767","2,851,609","2,872,204","2,885,481","2,888,455","2,884,778","2,884,840","2,902,893","2,948,372","3,026,061","3,130,785","3,249,799","3,364,891","3,462,974","3,539,137","3,597,350","3,644,171","3,690,033","3,742,329","3,802,903","3,868,504","3,935,421","3,998,042","4,052,420","4,097,457","4,134,872","4,166,915","4,196,990","4,227,597","4,259,405","4,291,719","4,324,060"
Lesotho,"1,033,044","1,054,333","1,076,100","1,098,849","1,123,261","1,149,797","1,178,551","1,209,290","1,241,725","1,275,421","1,309,981","1,345,398","1,381,537","1,417,720","1,453,098","1,487,079","1,519,369","1,550,144","1,579,900","1,609,386","1,639,177","1,669,190","1,699,284","1,729,896","1,761,558","1,794,531","1,829,222","1,865,218","1,900,962","1,934,337","1,963,878","1,988,983","2,010,261","2,028,976","2,047,006","2,065,752","2,085,561","2,106,128","2,127,412","2,149,201","2,171,318","2,193,843","2,216,850","2,240,126"
Liberia,"1,439,677","1,479,831","1,521,565","1,565,044","1,610,474","1,657,971","1,706,539","1,755,815","1,807,164","1,862,497","1,922,536","1,988,931","2,059,483","2,126,455","2,179,471","2,211,509","2,221,350","2,212,690","2,189,831","2,159,264","2,127,098","2,091,355","2,054,179","2,030,591","2,039,922","2,094,591","2,203,809","2,360,511","2,540,835","2,710,963","2,847,290","2,939,296","2,996,082","3,037,412","3,092,721","3,182,539","3,313,718","3,477,197","3,658,460","3,835,929","3,994,122","4,128,572","4,244,684","4,348,740"
Libya,"1,994,000","2,079,897","2,169,965","2,264,278","2,362,900","2,466,000","2,572,300","2,681,887","2,797,780","2,924,086","3,063,000","3,216,430","3,381,390","3,549,220","3,708,142","3,849,801","3,970,886","4,074,021","4,164,147","4,249,018","4,334,459","4,421,885","4,509,970","4,598,629","4,687,106","4,775,009","4,862,665","4,951,076","5,041,233","5,134,324","5,231,189","5,331,311","5,434,293","5,541,062","5,652,797","5,769,709","5,893,738","6,023,053","6,149,620","6,262,667","6,355,112","6,422,772","6,469,497","6,506,095"
Liechtenstein,"21,358","21,799","22,196","22,563","22,922","23,288","23,665","24,048","24,436","24,825","25,213","25,600","25,990","26,377","26,761","27,140","27,511","27,878","28,243","28,611","28,986","29,370","29,760","30,154","30,549","30,941","31,328","31,710","32,090","32,470","32,853","33,239","33,626","34,006","34,365","34,696","34,995","35,266","35,521","35,772","36,032","36,304","36,584","36,871"
Lithuania,"3,137,113","3,170,575","3,204,064","3,237,070","3,268,867","3,298,964","3,327,193","3,353,830","3,379,395","3,404,630","3,430,089","3,455,403","3,480,356","3,505,769","3,532,724","3,561,668","3,593,334","3,626,602","3,657,818","3,682,059","3,695,890","3,698,095","3,689,943","3,673,606","3,652,438","3,629,104","3,604,044","3,577,128","3,549,816","3,523,732","3,500,028","3,479,622","3,462,402","3,447,170","3,432,060","3,415,748","3,397,895","3,379,043","3,359,799","3,341,097","3,323,611","3,307,481","3,292,454","3,278,337"
Luxembourg,"339,184","342,560","346,805","351,409","355,635","358,956","361,239","362,669","363,435","363,846","364,158","364,405","364,589","364,897","365,550","366,716","368,467","370,806","373,733","377,218","381,225","385,755","390,778","396,179","401,804","407,522","413,377","419,355","425,216","430,650","435,491","439,509","442,882","446,340","450,888","457,197","465,586","475,714","486,781","497,637","507,448","515,941","523,362","530,018"
"Macao, China","250,995","253,879","254,280","252,843","250,548","248,211","245,913","243,725","242,455","243,067","246,230","252,251","260,913","271,665","283,662","296,210","309,212","322,637","335,931","348,443","359,709","369,493","377,886","385,193","391,906","398,426","404,808","411,050","417,435","424,292","431,867","440,265","449,472","459,456","470,127","481,390","493,267","505,709","518,463","531,195","543,656","555,731","567,441","578,844"
"Macedonia, FYR","1,567,968","1,587,484","1,607,799","1,629,127","1,651,721","1,675,598","1,701,231","1,728,165","1,754,389","1,777,205","1,794,830","1,806,228","1,812,327","1,815,719","1,820,117","1,828,148","1,840,767","1,857,034","1,875,387","1,893,409","1,909,353","1,922,774","1,934,265","1,944,343","1,953,874","1,963,484","1,973,283","1,982,994","1,992,404","2,001,178","2,009,091","2,016,075","2,022,255","2,027,819","2,033,039","2,038,109","2,043,091","2,047,922","2,052,524","2,056,769","2,060,563","2,063,893","2,066,785","2,069,219"
Madagascar,"6,548,922","6,725,666","6,909,376","7,100,076","7,297,711","7,502,097","7,713,983","7,933,128","8,157,215","8,383,124","8,608,964","8,833,875","9,059,559","9,289,882","9,530,197","9,784,559","10,054,543","10,339,739","10,639,804","10,953,663","11,280,625","11,620,718","11,974,724","12,343,496","12,728,117","13,129,227","13,547,271","13,981,666","14,430,739","14,892,172","15,364,272","15,846,412","16,338,968","16,842,482","17,357,913","17,885,967","18,426,870","18,980,391","19,546,282","20,124,150","20,713,819","21,315,135","21,928,518","22,555,046"
Malawi,"4,531,280","4,667,889","4,814,073","4,969,175","5,132,087","5,301,861","5,481,074","5,670,199","5,863,933","6,055,046","6,239,898","6,409,111","6,567,327","6,741,249","6,967,388","7,268,257","7,661,008","8,128,340","8,616,602","9,051,225","9,380,892","9,583,696","9,681,728","9,721,620","9,772,164","9,883,350","10,070,605","10,319,125","10,612,353","10,922,265","11,228,756","11,529,337","11,833,102","12,144,945","12,472,794","12,822,587","13,195,329","13,589,404","14,005,113","14,442,290","14,900,841","15,380,888","15,882,815","16,406,945"
Malaysia,"10,909,353","11,182,967","11,461,117","11,742,976","12,027,040","12,312,736","12,600,292","12,891,897","13,191,366","13,503,629","13,832,586","14,178,739","14,542,156","14,925,545","15,331,937","15,762,856","16,220,169","16,701,745","17,200,067","17,704,839","18,208,562","18,707,774","19,204,087","19,701,263","20,205,446","20,720,810","21,247,102","21,781,499","22,322,448","22,867,698","23,414,909","23,964,621","24,515,323","25,060,184","25,590,453","26,100,241","26,586,287","27,051,142","27,502,008","27,949,395","28,401,017","28,859,154","29,321,798","29,787,203"
Maldives,"115,772","119,308","123,266","127,491","131,752","135,895","139,851","143,701","147,623","151,872","156,626","161,931","167,708","173,861","180,238","186,720","193,275","199,898","206,522","213,067","219,474","225,709","231,756","237,606","243,256","248,712","253,960","259,002","263,867","268,600","273,236","277,791","282,266","286,665","290,988","295,240","299,419","303,539","307,632","311,739","315,885","320,081","324,313","328,551"
Mali,"6,034,022","6,138,428","6,249,101","6,364,760","6,483,570","6,604,259","6,725,776","6,848,536","6,974,443","7,106,248","7,245,598","7,394,730","7,552,338","7,712,392","7,866,571","8,009,705","8,139,016","8,258,615","8,378,673","8,513,337","8,672,868","8,861,362","9,076,261","9,313,042","9,564,231","9,824,510","10,092,753","10,371,338","10,662,517","10,969,725","11,295,324","11,639,798","12,001,887","12,380,104","12,772,264","13,176,642","13,592,796","14,020,786","14,459,990","14,909,813","15,369,809","15,839,538","16,318,897","16,808,242"
Malta,"303,607","303,338","303,123","303,243","304,083","305,898","308,788","312,621","317,130","321,925","326,709","331,406","336,046","340,572","344,944","349,135","353,069","356,736","360,256","363,812","367,524","371,455","375,533","379,574","383,314","386,576","389,277","391,499","393,429","395,339","397,420","399,746","402,244","404,787","407,183","409,295","411,084","412,608","413,946","415,220","416,515","417,855","419,212","420,557"
Marshall Islands,"20,397","21,309","22,340","23,439","24,534","25,578","26,547","27,467","28,396","29,414","30,578","31,891","33,330","34,890","36,562","38,327","40,196","42,140","44,054","45,802","47,288","48,469","49,369","50,040","50,565","51,008","51,389","51,697","51,930","52,080","52,145","52,131","52,066","51,992","51,968","52,037","52,210","52,487","52,880","53,396","54,038","54,816","55,717","56,687"
Martinique,"325,561","326,918","327,918","328,542","328,748","328,542","327,897","326,945","326,056","325,713","326,254","327,810","330,273","333,448","337,024","340,749","344,615","348,630","352,584","356,223","359,377","361,915","363,904","365,618","367,459","369,709","372,461","375,604","378,962","382,276","385,349","388,133","390,681","393,022","395,211","397,292","399,262","401,101","402,804","404,376","405,814","407,121","408,302","409,366"
Mauritania,"1,133,539","1,166,883","1,201,462","1,237,242","1,274,150","1,312,132","1,351,167","1,391,261","1,432,406","1,474,597","1,517,817","1,562,144","1,607,553","1,653,818","1,700,638","1,747,839","1,795,343","1,843,352","1,892,328","1,942,900","1,995,548","2,050,456","2,107,590","2,166,948","2,228,453","2,292,053","2,357,678","2,425,374","2,495,316","2,567,741","2,642,743","2,720,367","2,800,333","2,882,003","2,964,526","3,047,249","3,129,959","3,212,672","3,295,254","3,377,630","3,459,773","3,541,540","3,622,961","3,704,414"
Mauritius,"826,862","840,108","852,981","865,777","878,870","892,492","906,825","921,718","936,660","950,931","964,023","975,852","986,620","996,476","1,005,669","1,014,450","1,022,704","1,030,542","1,038,704","1,048,161","1,059,548","1,073,250","1,088,939","1,105,659","1,122,040","1,137,098","1,150,448","1,162,388","1,173,451","1,184,470","1,196,027","1,208,279","1,220,935","1,233,594","1,245,669","1,256,742","1,266,684","1,275,650","1,283,849","1,291,609","1,299,172","1,306,593","1,313,803","1,320,785"
Mayotte,"36,755","38,290","39,955","41,712","43,495","45,268","47,016","48,777","50,630","52,684","55,016","57,665","60,618","63,844","67,287","70,912","74,685","78,630","82,829","87,402","92,413","97,901","103,795","109,918","116,028","121,949","127,624","133,089","138,384","143,585","148,753","153,887","158,983","164,101","169,315","174,681","180,217","185,922","191,805","197,870","204,114","210,552","217,172","223,907"
Mexico,"51,868,335","53,441,943","55,081,201","56,771,626","58,492,118","60,224,601","61,969,362","63,723,359","65,461,471","67,152,555","68,776,411","70,318,386","71,788,766","73,223,336","74,673,296","76,175,154","77,741,110","79,358,780","81,010,093","82,666,457","84,306,602","85,923,799","87,523,328","89,109,703","90,691,331","92,272,749","93,858,373","95,441,345","97,001,933","98,513,690","99,959,594","101,329,543","102,634,153","103,902,569","105,175,967","106,483,757","107,835,259","109,220,753","110,627,158","112,033,369","113,423,047","114,793,341","116,146,768","117,478,371"
"Micronesia, Fed. Sts.","61,431","62,105","62,297","62,288","62,474","63,143","64,383","66,106","68,217","70,546","72,962","75,456","78,048","80,667","83,232","85,682","87,950","90,037","92,040","94,105","96,319","98,749","101,314","103,780","105,825","107,233","107,904","107,947","107,605","107,237","107,103","107,290","107,728","108,325","108,926","109,419","109,789","110,092","110,367","110,676","111,064","111,542","112,098","112,726"
Moldova,"3,594,501","3,645,524","3,697,183","3,747,974","3,795,721","3,838,998","3,877,052","3,910,760","3,942,280","3,974,656","4,009,998","4,048,772","4,090,009","4,132,576","4,174,737","4,214,996","4,252,952","4,288,276","4,319,579","4,345,236","4,363,950","4,375,242","4,378,913","4,374,366","4,361,061","4,338,750","4,307,683","4,268,370","4,221,290","4,167,099","4,106,736","4,040,204","3,968,812","3,896,409","3,827,906","3,766,876","3,714,961","3,671,540","3,635,059","3,602,853","3,572,885","3,544,864","3,519,266","3,495,657"
Monaco,"23,689","23,968","24,282","24,605","24,902","25,153","25,341","25,482","25,617","25,802","26,078","26,459","26,930","27,459","28,004","28,533","29,036","29,521","29,990","30,447","30,896","31,330","31,745","32,154","32,574","33,014","33,485","33,974","34,444","34,840","35,126","35,288","35,341","35,323","35,282","35,260","35,267","35,295","35,336","35,377","35,407","35,427","35,444","35,456"
Mongolia,"1,281,535","1,319,817","1,359,478","1,400,150","1,441,311","1,482,599","1,523,908","1,565,380","1,607,212","1,649,710","1,693,122","1,736,994","1,781,213","1,826,717","1,874,774","1,926,002","1,981,170","2,039,204","2,096,653","2,148,850","2,192,553","2,226,469","2,251,861","2,271,236","2,288,370","2,306,131","2,325,369","2,345,618","2,366,895","2,388,862","2,411,369","2,434,515","2,458,853","2,485,177","2,514,462","2,547,339","2,584,143","2,624,509","2,667,474","2,711,659","2,756,001","2,800,114","2,844,081","2,887,863"
Montenegro,"518,727","523,214","528,905","535,454","542,304","548,999","555,632","562,247","568,285","573,036","576,069","577,041","576,292","574,920","574,459","575,997","579,821","585,546","592,740","600,697","608,816","617,144","625,630","633,443","639,542","643,227","644,121","642,533","639,309","635,689","632,606","630,299","628,594","627,500","626,912","626,739","627,074","627,962","629,185","630,435","631,490","632,261","632,796","633,167"
Montserrat,"11,622","11,626","11,646","11,680","11,723","11,770","11,821","11,875","11,917","11,931","11,906","11,837","11,727","11,592","11,446","11,307","11,165","11,013","10,871","10,769","10,714","10,746","10,842","10,883","10,707","10,210","9,329","8,137","6,832","5,697","4,931","4,608","4,660","4,962","5,322","5,599","5,760","5,845","5,876","5,895","5,934","5,990","6,046","6,100"
Morocco,"15,309,995","15,706,226","16,099,392","16,493,298","16,893,643","17,304,995","17,726,625","18,158,169","18,604,851","19,073,204","19,566,920","20,088,209","20,633,004","21,190,800","21,747,150","22,291,062","22,818,601","23,330,761","23,827,539","24,310,585","24,781,105","25,237,951","25,679,802","26,107,772","26,523,600","26,928,600","27,323,664","27,708,647","28,082,684","28,444,414","28,793,236","29,129,204","29,453,931","29,770,316","30,082,152","30,392,473","30,702,084","31,011,199","31,321,453","31,634,524","31,951,412","32,272,974","32,598,536","32,925,553"
Mozambique,"9,453,385","9,665,565","9,882,427","10,109,426","10,353,943","10,620,268","10,908,878","11,214,834","11,530,022","11,843,382","12,145,501","12,441,643","12,731,231","12,992,962","13,199,259","13,334,972","13,384,409","13,365,201","13,336,217","13,378,100","13,547,076","13,867,422","14,318,167","14,854,590","15,409,381","15,933,452","16,412,893","16,862,385","17,295,521","17,735,992","18,200,656","18,691,461","19,200,021","19,721,009","20,246,287","20,770,013","21,290,952","21,811,326","22,332,900","22,858,607","23,390,765","23,929,708","24,475,186","25,028,313"
Myanmar,"26,164,131","26,807,570","27,475,978","28,160,632","28,849,728","29,534,378","30,210,895","30,880,196","31,543,652","32,204,485","32,864,901","33,524,053","34,179,992","34,832,636","35,481,981","36,127,741","36,770,437","37,409,257","38,041,034","38,661,616","39,268,304","39,855,885","40,425,088","40,985,963","41,552,659","42,133,199","42,735,941","43,352,191","43,952,526","44,496,687","44,957,660","45,323,903","45,609,292","45,843,675","46,070,248","46,321,162","46,605,278","46,915,826","47,250,315","47,601,374","47,963,012","48,336,763","48,724,387","49,119,646"
Namibia,"780,386","804,310","829,810","855,970","881,536","905,652","928,223","949,709","970,537","991,357","1,012,824","1,034,636","1,057,115","1,082,264","1,112,679","1,150,038","1,195,331","1,247,573","1,304,005","1,360,710","1,414,830","1,465,201","1,512,524","1,558,055","1,603,865","1,651,352","1,700,975","1,751,872","1,802,579","1,851,034","1,895,839","1,936,399","1,973,408","2,008,342","2,043,339","2,079,951","2,118,653","2,158,984","2,200,422","2,242,078","2,283,289","2,324,004","2,364,433","2,404,477"
Nauru,"6,493","6,619","6,743","6,862","6,972","7,070","7,156","7,235","7,311","7,393","7,488","7,597","7,719","7,855","8,007","8,174","8,356","8,550","8,752","8,956","9,157","9,354","9,544","9,719","9,863","9,970","10,033","10,058","10,056","10,046","10,041","10,046","10,057","10,075","10,094","10,114","10,133","10,154","10,180","10,212","10,255","10,308","10,370","10,437"
Nepal,"11,917,872","12,189,968","12,472,000","12,763,547","13,064,044","13,373,069","13,690,544","14,016,547","14,351,017","14,693,930","15,045,329","15,405,456","15,774,532","16,152,598","16,539,682","16,936,006","17,341,408","17,756,510","18,183,258","18,624,187","19,081,064","19,554,170","20,042,806","20,546,441","21,064,150","21,594,872","22,137,784","22,691,788","23,255,046","23,825,372","24,400,606","24,980,184","25,562,573","26,143,530","26,717,875","27,281,945","27,833,665","28,373,838","28,905,358","29,432,743","29,959,364","30,485,798","31,011,137","31,535,507"
Netherlands,"12,958,757","13,097,251","13,231,426","13,360,546","13,483,746","13,600,423","13,710,713","13,814,863","13,912,617","14,003,707","14,088,274","14,166,213","14,238,594","14,308,217","14,378,740","14,452,941","14,531,566","14,614,382","14,701,901","14,794,378","14,891,719","14,994,691","15,102,709","15,212,612","15,320,112","15,422,165","15,517,122","15,605,817","15,690,705","15,775,532","15,862,825","15,953,446","16,045,935","16,137,709","16,225,091","16,305,457","16,377,959","16,443,483","16,503,263","16,559,268","16,612,988","16,664,746","16,714,228","16,761,552"
Netherlands Antilles,"159,179","160,998","162,504","163,794","165,010","166,261","167,573","168,928","170,335","171,792","173,297","174,837","176,415","178,058","179,800","181,650","183,619","185,649","187,596","189,274","190,539","191,402","191,888","191,899","191,325","190,124","188,225","185,762","183,172","181,033","179,769","179,516","180,170","181,607","183,603","185,967","188,700","191,788","194,999","198,037","200,689","202,847","204,538","205,860"
New Caledonia,"105,134","109,421","114,294","119,408","124,283","128,571","132,158","135,149","137,700","140,061","142,424","144,832","147,247","149,695","152,190","154,749","157,383","160,123","163,039","166,211","169,689","173,502","177,618","181,946","186,358","190,756","195,116","199,443","203,708","207,888","211,965","215,914","219,741","223,496","227,258","231,080","234,976","238,926","242,911","246,900","250,870","254,816","258,735","262,605"
New Zealand,"2,819,597","2,871,885","2,930,577","2,990,130","3,042,757","3,083,108","3,109,010","3,122,855","3,129,440","3,135,831","3,147,183","3,165,407","3,189,133","3,216,318","3,243,586","3,268,709","3,290,651","3,310,922","3,332,798","3,360,829","3,397,983","3,446,005","3,503,125","3,564,531","3,623,421","3,675,060","3,717,342","3,752,131","3,783,470","3,817,367","3,858,032","3,906,830","3,961,978","4,020,769","4,079,130","4,134,117","4,184,903","4,232,461","4,277,809","4,322,628","4,368,136","4,414,509","4,461,257","4,508,166"
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,"2,398,160","2,472,476","2,549,185","2,628,337","2,709,983","2,794,083","2,880,571","2,969,183","3,059,408","3,150,596","3,242,190","3,334,287","3,426,782","3,518,721","3,608,911","3,696,667","3,781,070","3,862,724","3,944,304","4,029,509","4,120,797","4,219,176","4,323,263","4,430,182","4,535,802","4,637,040","4,733,164","4,824,799","4,911,886","4,994,730","5,073,704","5,148,635","5,219,724","5,288,271","5,356,012","5,424,336","5,493,527","5,563,654","5,635,577","5,710,230","5,788,163","5,869,859","5,954,898","6,041,763"
Niger,"4,372,957","4,505,018","4,640,560","4,779,869","4,923,337","5,071,204","5,223,853","5,381,141","5,542,178","5,705,724","5,871,030","6,038,229","6,208,128","6,381,552","6,559,627","6,743,501","6,933,529","7,130,570","7,336,924","7,555,416","7,788,198","8,036,341","8,299,868","8,578,542","8,871,631","9,178,575","9,499,892","9,835,945","10,185,812","10,548,219","10,922,421","11,308,134","11,706,182","12,118,322","12,546,945","12,993,884","13,460,138","13,945,662","14,450,007","14,972,257","15,511,953","16,068,994","16,644,339","17,239,826"
Nigeria,"57,357,275","58,745,411","60,191,508","61,720,304","63,363,756","65,141,058","67,067,499","69,127,157","71,269,619","73,424,869","75,543,388","77,604,166","79,623,647","81,635,550","83,691,577","85,828,707","88,057,486","90,363,921","92,731,304","95,133,496","97,552,057","99,986,136","102,444,773","104,931,559","107,452,627","110,014,688","112,618,306","115,268,715","117,983,368","120,784,408","123,688,536","126,704,722","129,832,447","133,067,097","136,399,438","139,823,340","143,338,939","146,951,477","150,665,730","154,488,072","158,423,182","162,470,737","166,629,383","170,901,148"
Niue,"5,131","4,963","4,727","4,455","4,192","3,973","3,808","3,689","3,599","3,510","3,403","3,273","3,130","2,981","2,840","2,716","2,611","2,522","2,448","2,385","2,333","2,292","2,260","2,233","2,204","2,168","2,123","2,069","2,011","1,953","1,900","1,852","1,809","1,768","1,728","1,686","1,643","1,598","1,555","1,511","1,468","1,426","1,385","1,346"
